Freiluftkino Rehberge,LADY BIRD,MI 04.07. 21:45,http://freiluftkino-rehberge.de/
Pompeji - Freiluftkino Ostkreuz,A BEAUTIFUL DAY OMDU,04.07.2018 21:45,https://www.kinoheld.de/kino-berlin/freiluftkino-pompeji-open-air-am-ostkreuz-berlin/shows/movies?mode=widget&cid=MjYwOTQzNg&layout=movies&rb=0&design=kinos-am-ostkreuz
Freiluftkino Insel im Cassiopeia,Wes Anderson's: Isle of Dogs - Ataris Reise (OmU),16. JUL,http://www.freiluftkino-insel.de/html/program
Freiluftkino Friedrichshain,SHAPE OF WATER - DAS FLÜSTERN DES WASSERS,MI 04.07. 21:45,http://www.freiluftkino-berlin.de/eine_woche.php
Freiluftkino Kreuzberg,ARTHUR & CLAIRE,DI 03.07. 21:45,http://www.freiluftkino-kreuzberg.de/
Freiluftkino Hasenheide,In den Gängen OmenglU,03.07.2018 21:45,http://freiluftkino-hasenheide.de/2018/index.php/programm
