Freiluftkino Rehberge,WIND RIVER ENGL.M.DT.UT,MO 11.06. 21:30,http://freiluftkino-rehberge.de/
Pompeji - Freiluftkino Ostkreuz,MARIA BY CALLAS OMDU,11.06.2018 21:45,https://www.kinoheld.de/kino-berlin/freiluftkino-pompeji-open-air-am-ostkreuz-berlin/shows/movies?mode=widget&cid=MjYwOTQzNg&layout=movies&rb=0&design=kinos-am-ostkreuz
Freiluftkino Insel im Cassiopeia,The Greatest Showman (OmU),11. JUN,http://www.freiluftkino-insel.de/html/program
Freiluftkino Friedrichshain,DER SEIDENE FADEN,MO 11.06. 21:30,http://www.freiluftkino-berlin.de/eine_woche.php
Freiluftkino Kreuzberg,MAUDIE,MO 11.06. 21:30,http://www.freiluftkino-kreuzberg.de/
Freiluftkino Hasenheide,Eine fantastische Frau OmU,11.06.2018 21:45,http://freiluftkino-hasenheide.de/2018/index.php/programm
