Freiluftkino Rehberge,GREATEST SHOWMAN ENGL.M.DT.UT,FR 29.06. 21:45,http://freiluftkino-rehberge.de/
Pompeji - Freiluftkino Ostkreuz,WOMAN IN THE DUNES | film in sounds cinematic concert OMEU,29.06.2018 21:45,https://www.kinoheld.de/kino-berlin/freiluftkino-pompeji-open-air-am-ostkreuz-berlin/shows/movies?mode=widget&cid=MjYwOTQzNg&layout=movies&rb=0&design=kinos-am-ostkreuz
Freiluftkino Insel im Cassiopeia,Wes Anderson's: Isle of Dogs - Ataris Reise (OmU),16. JUL,http://www.freiluftkino-insel.de/html/program
Freiluftkino Friedrichshain,MORD IM ORIENT EXPRESS,FR 29.06. 21:45,http://www.freiluftkino-berlin.de/eine_woche.php
Freiluftkino Kreuzberg,WILDES HERZ - "FEINE SAHNE FISCHFILET",FR 29.06. 21:45,http://www.freiluftkino-kreuzberg.de/
Freiluftkino Hasenheide,Isle of Dogs - Ataris Reise OmU,29.06.2018 21:45,http://freiluftkino-hasenheide.de/2018/index.php/programm
