Freiluftkino Rehberge,A QUIET PLACE,DO 05.07. 21:45,http://freiluftkino-rehberge.de/
Pompeji - Freiluftkino Ostkreuz,2001: ODYSSEE IM WELTRAUM OMDU,Fr 06.07. 21:45,https://www.kinoheld.de/kino-berlin/freiluftkino-pompeji-open-air-am-ostkreuz-berlin/shows/movies?mode=widget&cid=MjYwOTQzNg&layout=movies&rb=0&design=kinos-am-ostkreuz
Freiluftkino Insel im Cassiopeia,Wes Anderson's: Isle of Dogs - Ataris Reise (OmU),16. JUL,http://www.freiluftkino-insel.de/html/program
Freiluftkino Friedrichshain,TRANSIT,DO 05.07. 21:45,http://www.freiluftkino-berlin.de/eine_woche.php
Freiluftkino Kreuzberg,MIT LIVE-EVENT VOR DEM FILM: THE FLORIDA PROJECT,DO 05.07. 21:45,http://www.freiluftkino-kreuzberg.de/
Freiluftkino Hasenheide,Raving Iran Omdt&englU,05.07.2018 21:45,http://freiluftkino-hasenheide.de/2018/index.php/programm
