Freiluftkino Rehberge,WOHNE LIEBER UNGEWÖHNLICH,SA 30.06. 21:45,http://freiluftkino-rehberge.de/
Pompeji - Freiluftkino Ostkreuz,2001: ODYSSEE IM WELTRAUM OMDU,30.06.2018 21:45,https://www.kinoheld.de/kino-berlin/freiluftkino-pompeji-open-air-am-ostkreuz-berlin/shows/movies?mode=widget&cid=MjYwOTQzNg&layout=movies&rb=0&design=kinos-am-ostkreuz
Freiluftkino Insel im Cassiopeia,Wes Anderson's: Isle of Dogs - Ataris Reise (OmU),16. JUL,http://www.freiluftkino-insel.de/html/program
Freiluftkino Friedrichshain,LADY BIRD,SA 30.06. 21:45,http://www.freiluftkino-berlin.de/eine_woche.php
Freiluftkino Kreuzberg,DIE VERLEGERIN,SA 30.06. 21:45,http://www.freiluftkino-kreuzberg.de/
Freiluftkino Hasenheide,Greatest Showman OmU,30.06.2018 21:45,http://freiluftkino-hasenheide.de/2018/index.php/programm
