Freiluftkino Rehberge,WESTERN,MO 02.07. 21:45,http://freiluftkino-rehberge.de/
Pompeji - Freiluftkino Ostkreuz,A THOUSAND & ONE NIGHTS OMDU,02.07.2018 21:45,https://www.kinoheld.de/kino-berlin/freiluftkino-pompeji-open-air-am-ostkreuz-berlin/shows/movies?mode=widget&cid=MjYwOTQzNg&layout=movies&rb=0&design=kinos-am-ostkreuz
Freiluftkino Insel im Cassiopeia,Wes Anderson's: Isle of Dogs - Ataris Reise (OmU),16. JUL,http://www.freiluftkino-insel.de/html/program
Freiluftkino Friedrichshain,HAPPY END,MO 02.07. 21:45,http://www.freiluftkino-berlin.de/eine_woche.php
Freiluftkino Kreuzberg,EINE FANTASTISCHE FRAU - UNA MUJER FANTÁSTICA,MO 02.07. 21:45,http://www.freiluftkino-kreuzberg.de/
