Freiluftkino Rehberge,ARTHUR & CLAIRE,DI 12.06. 21:30,http://freiluftkino-rehberge.de/
Pompeji - Freiluftkino Ostkreuz,MARIA BY CALLAS OMDU,12.06.2018 21:45,https://www.kinoheld.de/kino-berlin/freiluftkino-pompeji-open-air-am-ostkreuz-berlin/shows/movies?mode=widget&cid=MjYwOTQzNg&layout=movies&rb=0&design=kinos-am-ostkreuz
Freiluftkino Insel im Cassiopeia,Wildes Herz,12. JUN,http://www.freiluftkino-insel.de/html/program
Freiluftkino Friedrichshain,WIND RIVER engl.m.dt.Ut,DI 12.06. 21:45,http://www.freiluftkino-berlin.de/eine_woche.php
Freiluftkino Kreuzberg,DER HIMMEL ÜBER BERLIN,DI 12.06. 21:30,http://www.freiluftkino-kreuzberg.de/
Freiluftkino Hasenheide,Unsere Erde 2,12.06.2018 21:45,http://freiluftkino-hasenheide.de/2018/index.php/programm
